"","p_code","vdc","hazard","exposure","housing","poverty","vulnerability","severity","sev_norm","sev_cat","hlcit"
"14","C-JAN-20-034","Mahadevsthan",10,0.071423226,5.191504838,6.547619048,5.869561943,1.612433147,3.306973201,"Highest",524205305040
"15","C-JAN-20-024","Kalpabrishykha",7.100648031,0.096057934,5.191504838,6.547619048,5.869561943,1.587860357,3.256576347,"Highest",524204205041
"16","C-NAR-31-020","Hetauda Municipality",1.038322648,0.868017219,4.990112867,3.644688645,4.317400756,1.572875485,3.225843556,"Highest",NA
"17","C-BAG-28-008","Bidur Municipality",2.264279392,0.274231562,5.913504002,5.848595849,5.881049925,1.539929265,3.158273459,"Highest",NA
"18","W-GAN-38-001","Anbukhaireni",4.080220093,0.167942484,6.434894278,4.044566545,5.239730411,1.531267395,3.140508646,"Highest",524307405011
"19","C-NAR-35-033","Ratnanagar Municipality",1.730344271,0.475338125,5.37928052,2.533577534,3.956429027,1.48187936,3.039217682,"Highest",NA
"20","C-BAG-27-016","Dhapasi",1.738208783,0.321963231,8.863975701,1.816239316,5.340107508,1.440409817,2.954166921,"High",524205275027
"21","C-BAG-27-023","Gothatar",2.002565765,0.268275355,8.863975701,1.816239316,5.340107508,1.420929472,2.914214268,"High",524205275010
"22","W-LUM-48-021","Gaidakot",1.821970971,0.342569042,5.60905413,3.507326007,4.558190069,1.416970034,2.906093773,"High",524309515048
"23","C-BAG-24-006","Banepa Municipality",2.276162007,0.253871791,6.45603317,3.308913309,4.88247324,1.413033623,2.898020506,"High",NA
"24","C-JAN-20-013","Dadiguranshe",9.298300467,0.049248913,5.191504838,6.547619048,5.869561943,1.390385741,2.851571487,"High",524204205037
"25","C-BAG-27-038","Manmaiju",1.204389031,0.414330573,8.863975701,1.816239316,5.340107508,1.386398003,2.843392949,"High",524205275033
"26","C-BAG-30-035","Nilkantha",2.005448284,0.206898743,6.817638797,5.152625153,5.985131975,1.354194411,2.777345923,"High",524205305026
"27","C-BAG-30-002","Baireni",2.971618107,0.137054271,6.817638797,5.152625153,5.985131975,1.345818314,2.760167208,"High",524205305041
"28","C-BAG-25-023","Imadol",1.869112795,0.280146763,8.404832734,0.818070818,4.611451776,1.341589333,2.751493903,"High",524205255032
"29","C-BAG-30-013","Gajuri",3.499847102,0.102875279,6.817638797,5.152625153,5.985131975,1.291649292,2.649070818,"High",524205305043
"30","C-BAG-30-034","Naubise",2.339903316,0.149192221,6.817638797,5.152625153,5.985131975,1.278417209,2.621932859,"High",524205305049
"31","C-NAR-31-016","Faparbari",2.755782184,0.171981633,4.990112867,3.644688645,4.317400756,1.269549893,2.603746694,"High",524206315012
"32","C-BAG-30-037","Pida",2.984717642,0.11320894,6.817638797,5.152625153,5.985131975,1.264598229,2.593591219,"High",524205305045
"33","C-BAG-25-009","Chapagaun",2.576381377,0.168332047,8.404832734,0.818070818,4.611451776,1.259906188,2.583968214,"High",524205255022
"34","C-BAG-30-018","Jogimara",4.175264536,0.079388756,6.817638797,5.152625153,5.985131975,1.256528204,2.577040235,"High",524205305039
"35","C-BAG-24-023","Dhulikhel Municipality",2.64460094,0.146424277,6.45603317,3.308913309,4.88247324,1.236529179,2.536023813,"High",NA
"36","C-BAG-30-004","Benighat",3.116678765,0.099615256,6.817638797,5.152625153,5.985131975,1.229411324,2.521425654,"High",524205305037
"37","C-NAR-35-017","Jutpani",3.193126196,0.146844594,5.37928052,2.533577534,3.956429027,1.228737582,2.520043863,"High",524206355020
"38","C-JAN-20-030","Kyaneshwor",3.274539297,0.095996424,5.191504838,6.547619048,5.869561943,1.226507809,2.515470774,"High",524204205021
"39","C-BAG-27-037","Mahangkal",1.839265076,0.184498894,8.863975701,1.816239316,5.340107508,1.219165593,2.500412467,"High",NA
"40","C-BAG-26-002","Balkot",2.362211982,0.162806409,8.226716181,0.894383394,4.560549788,1.205968198,2.473345652,"High",524205265009
"41","C-BAG-30-005","Bhumesthan",2.606628105,0.110574267,6.817638797,5.152625153,5.985131975,1.199321513,2.459713825,"High",524205305042
"42","C-BAG-30-048","Thakre",2.852850432,0.100855705,6.817638797,5.152625153,5.985131975,1.198627952,2.458291386,"High",524205305050
"43","C-BAG-30-016","Jeewanpur",3.073337937,0.090101727,6.817638797,5.152625153,5.985131975,1.183420409,2.427101914,"High",524205305048
"44","C-BAG-30-026","Kumpur",2.648023761,0.102639492,6.817638797,5.152625153,5.985131975,1.176079555,2.412046403,"High",524205305033
"45","W-GAN-38-017","Devghat",3.844505133,0.078722399,6.434894278,4.044566545,5.239730411,1.166136088,2.391653136,"High",524307405028
"46","C-NAR-35-021","Khairahani",1.807741056,0.220717964,5.37928052,2.533577534,3.956429027,1.164373807,2.388038837,"High",524206355010
"47","C-BAG-26-011","Kautunje",1.7060904,0.199876365,8.226716181,0.894383394,4.560549788,1.158582314,2.37616094,"High",524205265012
"48","C-BAG-30-011","Dhussa",3.490651935,0.073709343,6.817638797,5.152625153,5.985131975,1.154784483,2.368371889,"High",524205305038
"49","C-BAG-24-032","Gokule",6.132891294,0.049587217,6.45603317,3.308913309,4.88247324,1.140840576,2.339774035,"High",524205245029
"50","C-BAG-30-028","Mahadevsthan",3.435374918,0.06995724,6.817638797,5.152625153,5.985131975,1.128825592,2.315132252,"High",524205305040
"51","C-BAG-30-029","Maidi",2.51129434,0.094345909,6.817638797,5.152625153,5.985131975,1.123478608,2.304166008,"High",524205305024
"52","C-BAG-27-024","IchangNarayan",1.036494374,0.250396482,8.863975701,1.816239316,5.340107508,1.114932027,2.286637646,"High",524205275036
"53","C-BAG-30-020","Kalleri",2.492947921,0.090747581,6.817638797,5.152625153,5.985131975,1.106302765,2.26893971,"High",524205305031
"54","C-JAN-22-004","Bhimeswor Municipality",0.86491574,0.231041373,7.531331947,5.860805861,6.696068904,1.101948142,2.260008721,"High",NA
"55","C-BAG-24-066","Panchkhal",2.158805985,0.126495075,6.45603317,3.308913309,4.88247324,1.100632586,2.257310621,"High",524205245073
"56","C-NAR-31-032","Namtar",3.303378311,0.090378522,4.990112867,3.644688645,4.317400756,1.088300018,2.232017495,"High",524206315026
"57","C-NAR-31-003","Bajrabarahi",3.765298735,0.078681392,4.990112867,3.644688645,4.317400756,1.085503627,2.226282319,"High",524206315035
"58","C-BAG-28-035","Kumari",2.440417876,0.088902284,5.913504002,5.848595849,5.881049925,1.0846193,2.224468633,"High",524205285004
"59","C-NAR-35-035","Shaktikhor",3.322540984,0.096550013,5.37928052,2.533577534,3.956429027,1.082701374,2.220535118,"High",524206355021
"60","C-BAG-27-036","Mahadevathan",1.490266593,0.159044054,8.863975701,1.816239316,5.340107508,1.081709063,2.218499966,"High",524205275046
"61","C-BAG-25-029","Lele",3.180417762,0.086226604,8.404832734,0.818070818,4.611451776,1.081403345,2.217872963,"High",524205255004
"62","C-NAR-35-010","Darechok",3.212954328,0.098487574,5.37928052,2.533577534,3.956429027,1.077779183,2.210440093,"High",524206355024
"63","C-NAR-35-007","Chainpur",1.814430621,0.17208415,5.37928052,2.533577534,3.956429027,1.072988017,2.20061379,"High",524205305030
"64","W-GAN-36-041","Manakamana",3.324737861,0.063590967,6.441465148,5.213675214,5.827570181,1.072046075,2.198681941,"High",524205285057
"65","C-NAR-31-012","Daman",3.291727055,0.086513651,4.990112867,3.644688645,4.317400756,1.071297947,2.19714759,"High",524206315030
"66","C-NAR-35-004","Bhandara",1.852778592,0.165266804,5.37928052,2.533577534,3.956429027,1.06603348,2.186350581,"High",524206355005
"67","C-BAG-27-008","Budhanilkantha",1.424733515,0.158090651,8.863975701,1.816239316,5.340107508,1.063481509,2.181116691,"High",NA
"68","W-GAN-36-012","Bunkot",3.205998051,0.064175311,6.441465148,5.213675214,5.827570181,1.062362952,2.178822619,"High",524307365005
"69","C-JAN-20-035","Mahendrajhayadi",3.2951841,0.061663658,5.191504838,6.547619048,5.869561943,1.060485868,2.174972868,"High",524204205042
"70","C-BAG-25-035","Sainbu",1.274947381,0.202172734,8.404832734,0.818070818,4.611451776,1.059296423,2.172533409,"High",524205255033
"71","C-BAG-28-038","Madanpur",2.212443736,0.090850097,5.913504002,5.848595849,5.881049925,1.057346907,2.168535107,"High",524205285012
"72","C-BAG-24-090","UgrataraJanagal",3.377107285,0.071279703,6.45603317,3.308913309,4.88247324,1.055318464,2.16437493,"High",524205245058
"73","C-BAG-27-052","Sitapaila",1.194533685,0.183596749,8.863975701,1.816239316,5.340107508,1.054074069,2.161822775,"High",524205275039
"74","C-NAR-35-031","Piple",1.840661091,0.158439207,5.37928052,2.533577534,3.956429027,1.048849778,2.151108165,"High",524206355004
"75","C-BAG-30-008","ChhatreDyaurali",2.436348346,0.078804412,6.817638797,5.152625153,5.985131975,1.047420852,2.148177551,"High",524205305047
"76","C-NAR-31-029","Manahari",1.29618551,0.204868917,4.990112867,3.644688645,4.317400756,1.046618802,2.14653261,"High",524206315021
"77","C-BAG-30-014","Goganpani",3.294634202,0.057029913,6.817638797,5.152625153,5.985131975,1.039907112,2.132767462,"High",524205305029
"78","C-JAN-20-016","HariharpurGadhi",3.938683537,0.048633814,5.191504838,6.547619048,5.869561943,1.039836449,2.132622538,"High",524204205039
"79","C-NAR-31-024","Kankada",3.221007719,0.080372914,4.990112867,3.644688645,4.317400756,1.037786334,2.128417915,"High",524206315020
"80","C-NAR-35-006","Birendranagar",1.810649293,0.153098099,5.37928052,2.533577534,3.956429027,1.031262373,2.115037785,"High",524206355009
"81","C-BAG-30-022","Kewalpur",3.565999035,0.051360752,6.817638797,5.152625153,5.985131975,1.031087313,2.114678751,"High",524205305036
"82","C-BAG-27-056","Thankot",1.657387111,0.123501594,8.863975701,1.816239316,5.340107508,1.030106608,2.112667401,"High",524205275044
"83","C-BAG-27-040","Mulpani",1.688062182,0.120374841,8.863975701,1.816239316,5.340107508,1.027601484,2.10752959,"High",524205275009
"84","C-NAR-35-026","Mangalpur",1.396449349,0.195457905,5.37928052,2.533577534,3.956429027,1.025952535,2.104147727,"High",524206355016
"85","C-BAG-26-007","Dadhikot",1.965051413,0.119216405,8.226716181,0.894383394,4.560549788,1.022293769,2.096643884,"High",524205265011
"86","C-BAG-24-063","Nasikasthan Sanga",3.483079139,0.062750332,6.45603317,3.308913309,4.88247324,1.021895331,2.09582672,"High",NA
"87","C-BAG-30-041","Salyantar",2.195431839,0.080906,6.817638797,5.152625153,5.985131975,1.020606052,2.09318251,"High",524205305008
"88","C-BAG-30-025","Kiranchok",2.883998587,0.061571393,6.817638797,5.152625153,5.985131975,1.020506835,2.092979025,"High",524205305044
"89","W-GAN-36-027","Ghyalchok",2.973086727,0.061017804,6.441465148,5.213675214,5.827570181,1.018709966,2.089293787,"High",524307365012
"90","W-GAN-40-032","Pokhara Sub Metropolitan",0.105564358,2.618937048,7.442214042,0,3.721107021,1.009496559,2.070397818,"High",NA
"91","C-BAG-25-019","Godawari",2.86189228,0.077481949,8.404832734,0.818070818,4.611451776,1.00746623,2.066233773,"High",524205255025
"92","C-NAR-35-008","ChandiBhanjyang",4.99835869,0.0510327,5.37928052,2.533577534,3.956429027,1.003058926,2.05719474,"High",524206355023
"93","C-NAR-35-009","Dahakhani",5.175302562,0.049238661,5.37928052,2.533577534,3.956429027,1.002724872,2.05650962,"High",524206355014
"94","C-JAN-19-076","Parwanipur",1.824964217,0.087139001,4.208451337,8.351648352,6.280049845,0.999562621,2.050024093,"High",524204195010
"95","W-GAN-36-018","Deurali",3.029927705,0.056527583,6.441465148,5.213675214,5.827570181,0.999370972,2.049631036,"High",524205285052
"96","C-BAG-25-042","Tikathali",2.066138797,0.103910696,8.404832734,0.818070818,4.611451776,0.996672493,2.044096669,"High",524205255030
"97","C-BAG-24-049","Kushadevi",2.7611734,0.072930218,6.45603317,3.308913309,4.88247324,0.994367729,2.039369781,"High",524205245062
"98","C-NAR-35-032","Pithuwa",1.915496278,0.12895547,5.37928052,2.533577534,3.956429027,0.992372727,2.035278187,"High",524206355007
"99","C-NAR-31-035","Palung",3.934257645,0.057439979,4.990112867,3.644688645,4.317400756,0.991820647,2.034145915,"High",524206315029
"100","C-JAN-18-036","KhayarMara",1.683445871,0.089384112,4.32799056,8.623321123,6.475655842,0.991397338,2.033277742,"High",524204185063
"101","C-BAG-27-050","Seuchatar",1.325008745,0.137495092,8.863975701,1.816239316,5.340107508,0.990874489,2.032205419,"High",524205275041
"102","C-BAG-23-058","Sangachok",1.468674425,0.098180025,6.852053081,6.572039072,6.712046076,0.989163008,2.028695308,"High",524205235042
"103","C-BAG-24-005","BanakhuChor",4.237418741,0.046686001,6.45603317,3.308913309,4.88247324,0.988498415,2.02733228,"High",524205245026
"104","C-BAG-30-039","Salang",2.77234666,0.057921807,6.817638797,5.152625153,5.985131975,0.98685752,2.023966934,"High",524205305028
"105","C-BAG-26-017","Sudal",2.81714101,0.074365449,8.226716181,0.894383394,4.560549788,0.984915555,2.019984117,"High",524205265002
"106","W-GAN-36-008","Bhirkot",3.018286315,0.053933916,6.441465148,5.213675214,5.827570181,0.982584631,2.015203574,"High",524204225001
"107","C-BAG-30-032","Muralibhanjyang",2.12409912,0.074355197,6.817638797,5.152625153,5.985131975,0.981416329,2.01280748,"High",NA
"108","C-NAR-31-006","Bhaise",3.178735041,0.068860314,4.990112867,3.644688645,4.317400756,0.98133035,2.012631144,"High",524206315027
"109","C-BAG-28-018","Duipipal",1.990412568,0.079860332,5.913504002,5.848595849,5.881049925,0.977784226,2.005358323,"High",524205285002
"110","C-JAN-20-039","Pipalmadi",2.039857595,0.077953525,5.191504838,6.547619048,5.869561943,0.977268198,2.004299991,"High",524204205043
"111","C-BAG-27-014","Daanchhi",1.511887308,0.115290024,8.863975701,1.816239316,5.340107508,0.976383393,2.002485325,"High",524205275008
"112","C-NAR-31-040","ShreepurChhatiwan",1.005026131,0.212690924,4.990112867,3.644688645,4.317400756,0.973605215,1.996787502,"High",524206315008
"113","C-BAG-26-005","Chhaling",2.412756668,0.08333564,8.226716181,0.894383394,4.560549788,0.971524671,1.992520469,"High",524205265005
"114","W-GAN-38-004","Bandipur",1.362825562,0.127633007,6.434894278,4.044566545,5.239730411,0.969551179,1.988472993,"High",524307405012
"115","C-BAG-27-032","KhadkaBhadrakali",1.535995777,0.110317975,8.863975701,1.816239316,5.340107508,0.967227795,1.983707916,"High",524205275020
"116","C-NAR-31-001","Agra",2.606765487,0.080331907,4.990112867,3.644688645,4.317400756,0.96695026,1.983138714,"High",NA
"117","C-BAG-30-033","Nalang",1.818695054,0.082700038,6.817638797,5.152625153,5.985131975,0.965561132,1.980289721,"High",524205305034
"118","C-NAR-35-020","Kaule",3.945201757,0.057552747,5.37928052,2.533577534,3.956429027,0.964893881,1.978921242,"High",524205285058
"119","C-NAR-35-018","Kabilas",3.790635419,0.059613328,5.37928052,2.533577534,3.956429027,0.963354777,1.975764662,"High",524205285029
"120","C-BAG-30-023","Khalte",2.027689585,0.073576072,6.817638797,5.152625153,5.985131975,0.962950434,1.974935385,"High",524205305032
"121","C-BAG-25-014","Dhapakhel",1.472664629,0.129970383,8.404832734,0.818070818,4.611451776,0.959243007,1.967331746,"High",524205255040
"122","C-BAG-24-018","Dandagaun",5.552932648,0.031821113,6.45603317,3.308913309,4.88247324,0.951975739,1.952427152,"High",524205245046
"123","C-JAN-20-045","Santeswori(Rampur)",5.247247867,0.027935739,5.191504838,6.547619048,5.869561943,0.951113784,1.950659351,"High",524204205048
"124","C-NAR-34-020","Birgunj Sub Metropolitan",0.112752023,1.393239859,4.845363346,6.065323565,5.455343456,0.949855285,1.948078268,"High",NA
"125","C-BAG-30-046","Sunaulabajar",2.105853426,0.067886408,6.817638797,5.152625153,5.985131975,0.949354106,1.947050389,"High",NA
"126","C-BAG-30-007","Chainpur",2.126208523,0.065087708,6.817638797,5.152625153,5.985131975,0.939131025,1.926083657,"High",524205305030
"127","W-GAN-36-014","Chhoprak",2.284419346,0.060412957,6.441465148,5.213675214,5.827570181,0.929960448,1.907275527,"High",524307365026
"128","C-BAG-24-062","Nala(Ugrachandi)",2.229418538,0.073791356,6.45603317,3.308913309,4.88247324,0.929563347,1.906461104,"High",524205245055
"129","C-BAG-30-019","Jyamrung",1.861060592,0.071741027,6.817638797,5.152625153,5.985131975,0.927970018,1.903193311,"High",524205305023
"130","C-NAR-31-037","Raksirang",2.746707613,0.067373825,4.990112867,3.644688645,4.317400756,0.927916007,1.90308254,"High",524206315019
"131","C-NAR-31-008","Bhimfedi",3.313484195,0.055768961,4.990112867,3.644688645,4.317400756,0.927470146,1.902168114,"High",524206315038
"132","C-NAR-31-010","Chitlang",3.581679339,0.051555534,4.990112867,3.644688645,4.317400756,0.927245606,1.9017076,"High",524206315036
"133","C-BAG-26-008","Duwakot",1.615798002,0.107242481,8.226716181,0.894383394,4.560549788,0.924535746,1.89614989,"High",524205265007
"134","C-BAG-25-028","Lamatar",2.032508776,0.083940487,8.404832734,0.818070818,4.611451776,0.923167547,1.893343822,"High",524205255028
"135","C-JAN-17-048","Janakpur Municipality",0.125010386,1.002365055,4.783111544,7.698412698,6.240762121,0.921304547,1.889522957,"High",NA
"136","W-GAN-36-036","Khoplang",2.51873924,0.053236804,6.441465148,5.213675214,5.827570181,0.921073381,1.889048854,"High",524307365030
"137","C-JAN-20-037","Netrakali",3.795941568,0.0348556,5.191504838,6.547619048,5.869561943,0.919177233,1.885160004,"High",524204205047
"138","C-BAG-24-021","DeuvumiBaluwa",2.163262112,0.073176258,6.45603317,3.308913309,4.88247324,0.917711985,1.882154895,"High",524205245077
"139","C-NAR-31-017","Gogane",3.249396696,0.054795054,4.990112867,3.644688645,4.317400756,0.916056273,1.87875916,"High",524206315031
"140","C-BAG-25-021","Harisiddhi",1.489497716,0.110061684,8.404832734,0.818070818,4.611451776,0.910971008,1.868329683,"High",524205255037
"141","C-JAN-20-021","Jhangajholi Ratmata",2.285829433,0.054713041,5.191504838,6.547619048,5.869561943,0.902083602,1.850102314,"High",NA
"142","C-JAN-19-040","Hariyon",0.559284936,0.20862102,4.208451337,8.351648352,6.280049845,0.901539499,1.848986402,"High",524204195026
"143","W-GAN-36-058","Taklung",2.438767827,0.051545282,6.441465148,5.213675214,5.827570181,0.901465194,1.848834009,"High",524307365016
"144","W-GAN-36-047","Palumtar",1.489896828,0.083479163,6.441465148,5.213675214,5.827570181,0.898270763,1.842282483,"High",524307365031
"145","C-NAR-35-024","Lothar",3.532764357,0.051740063,5.37928052,2.533577534,3.956429027,0.897597571,1.840901818,"High",524206355003
"146","W-GAN-36-011","Borlang",2.398846306,0.051709308,6.441465148,5.213675214,5.827570181,0.897469204,1.840638548,"High",524307365004
"147","C-NAR-31-039","Shikharpur",2.75967613,0.060443712,4.990112867,3.644688645,4.317400756,0.896349132,1.838341368,"High",524206315014
"148","C-BAG-26-001","Bageswari",2.85149756,0.05520512,8.226716181,0.894383394,4.560549788,0.895412573,1.83642056,"High",524411575040
"149","C-BAG-26-015","Sipadol",1.55273756,0.101245268,8.226716181,0.894383394,4.560549788,0.895014348,1.835603831,"High",524205265015
"150","C-BAG-24-055","MahendraJyoti",4.198212423,0.034947865,6.45603317,3.308913309,4.88247324,0.894763606,1.83508958,"High",524205245065
"151","C-BAG-27-011","Chhaimale",3.090480669,0.043220945,8.863975701,1.816239316,5.340107508,0.893490821,1.832479198,"High",524205275055
"152","C-BAG-28-004","Belkot",1.543366718,0.078527617,5.913504002,5.848595849,5.881049925,0.893268747,1.832023741,"High",524205285008
"153","C-BAG-27-015","Dakshinkali",2.726048706,0.048746582,8.863975701,1.816239316,5.340107508,0.891954282,1.829327878,"High",NA
"154","C-BAG-27-020","Gokarneswor",1.721063411,0.076969367,8.863975701,1.816239316,5.340107508,0.891021662,1.827415148,"High",524205275023
"155","C-BAG-27-057","Tinthana",1.324927274,0.099707521,8.863975701,1.816239316,5.340107508,0.890204911,1.825740056,"High",524205275056
"156","C-BAG-24-028","Phalametar",3.321293571,0.043405474,6.45603317,3.308913309,4.88247324,0.88953672,1.824369649,"High",NA
"157","C-BAG-25-030","Lubhu",1.430544483,0.106350588,8.404832734,0.818070818,4.611451776,0.888572724,1.822392569,"High",524205255029
"158","C-BAG-26-018","Tathali",2.600276383,0.058413886,8.226716181,0.894383394,4.560549788,0.884811862,1.814679338,"High",524205265001
"159","C-BAG-30-042","Sangkosh",2.039918069,0.056599344,6.817638797,5.152625153,5.985131975,0.884095713,1.813210573,"High",524205305027
"160","C-BAG-25-040","Thecho",1.439810421,0.103398113,8.404832734,0.818070818,4.611451776,0.88216915,1.809259345,"High",524205255039
"161","C-BAG-27-010","ChapaliBhadrakali",1.140869028,0.110994584,8.863975701,1.816239316,5.340107508,0.877733201,1.800161563,"High",524205275018
"162","C-NAR-31-044","TistungDeurali",2.168003552,0.072181848,4.990112867,3.644688645,4.317400756,0.877479103,1.799640428,"High",524206315033
"163","C-NAR-32-019","Chandranigahapur",0.371097828,0.268213845,4.379973535,9.136141636,6.758057585,0.876187725,1.796991913,"High",524206325094
"164","C-NAR-31-023","Kalikatar",3.216067328,0.04841853,4.990112867,3.644688645,4.317400756,0.876031449,1.796671404,"High",524206315025
"165","C-JAN-20-040","PuranoJhangajholi",2.371666698,0.048254503,5.191504838,6.547619048,5.869561943,0.875788151,1.796172418,"High",524204205052
"166","C-BAG-24-076","Sangkhupatichaur",3.972516576,0.034568554,6.45603317,3.308913309,4.88247324,0.875243584,1.795055554,"High",NA
"167","W-GAN-38-007","Bhanu",0.940467294,0.135065452,6.434894278,4.044566545,5.239730411,0.873103317,1.790666036,"High",524307405008
"168","C-JAN-20-042","Ranichuri",1.235744794,0.091044879,5.191504838,6.547619048,5.869561943,0.870823219,1.785989735,"High",524204205020
"169","C-BAG-24-052","Mahadevsthan",1.609807155,0.083714951,6.45603317,3.308913309,4.88247324,0.869772323,1.78383443,"High",524205305040
"170","C-JAN-20-001","Amale",4.822834095,0.023178974,5.191504838,6.547619048,5.869561943,0.868961914,1.782172345,"High",524204205045
"171","C-BAG-30-047","Tasarpu",2.064809816,0.052806235,6.817638797,5.152625153,5.985131975,0.867387174,1.778942678,"High",524205305046
"172","C-BAG-24-001","Anekot",1.836202003,0.072786695,6.45603317,3.308913309,4.88247324,0.867369426,1.778906277,"High",NA
"173","C-JAN-20-008","Bhadrakali",2.456111373,0.045261022,5.191504838,6.547619048,5.869561943,0.867346643,1.778859551,"High",524204205034
"174","C-NAR-31-038","SarikhetPalase",1.752231893,0.086021572,4.990112867,3.644688645,4.317400756,0.866576895,1.777280859,"High",524206315018
"175","C-NAR-35-022","Korak",2.434770554,0.067148289,5.37928052,2.533577534,3.956429027,0.864832743,1.773703741,"High",524206355002
"176","C-BAG-27-021","Goldhunga",0.726391333,0.165810142,8.863975701,1.816239316,5.340107508,0.86319831,1.770351648,"High",524205275035
"177","W-GAN-36-016","Chyngli",1.678348231,0.064441854,6.441465148,5.213675214,5.827570181,0.857391562,1.758442466,"High",524307365027
"178","W-GAN-36-009","Bhumlichok",2.966297997,0.036342089,6.441465148,5.213675214,5.827570181,0.856454037,1.756519675,"High",524307365017
"179","C-NAR-35-019","Kathar",1.596482017,0.099399971,5.37928052,2.533577534,3.956429027,0.856284119,1.756171187,"High",524206355006
"180","C-NAR-31-007","BhartaPundyadevi",3.384642926,0.042739117,4.990112867,3.644688645,4.317400756,0.854778499,1.753083279,"High",524206315024
"181","C-JAN-20-029","KusesworDumja",2.076607661,0.050981441,5.191504838,6.547619048,5.869561943,0.853343892,1.750141013,"High",524204205050
"182","C-NAR-31-028","Makwanpurgadhi",1.091223112,0.131282594,4.990112867,3.644688645,4.317400756,0.85201588,1.747417365,"High",524206315007
"183","C-NAR-31-013","Dandakharka",3.45658584,0.041221873,4.990112867,3.644688645,4.317400756,0.850483341,1.74427425,"High",524204225025
"184","C-NAR-31-004","Basamadi",0.81134154,0.175610716,4.990112867,3.644688645,4.317400756,0.850470061,1.744247013,"High",524206315016
"185","C-JAN-21-031","Lakhanpur",1.456965323,0.063652477,7.160041941,6.059218559,6.60963025,0.849468405,1.742192696,"High",524204215037
"186","C-NAR-31-015","Fakhel",3.044861862,0.046378452,4.990112867,3.644688645,4.317400756,0.847947053,1.739072522,"High",524206315040
"187","C-JAN-20-006","Bastipur",3.253809468,0.031052239,5.191504838,6.547619048,5.869561943,0.84016305,1.723108147,"High",524204205046
"188","C-BAG-24-024","Dhunkharka",2.407310798,0.050397098,6.45603317,3.308913309,4.88247324,0.839832197,1.722429593,"Medium-High",524205245054
"189","W-GAN-36-022","Fujel",2.109987101,0.048121232,6.441465148,5.213675214,5.827570181,0.839527029,1.721803718,"Medium-High",524307365008
"190","C-BAG-30-021","Katunje",1.630961478,0.060546228,6.817638797,5.152625153,5.985131975,0.839205219,1.721143711,"Medium-High",524205305002
"191","C-BAG-24-041","Kabhrenitya Chandeshwari",2.391676992,0.050509866,6.45603317,3.308913309,4.88247324,0.838634781,1.719973788,"Medium-High",NA
"192","C-NAR-31-031","Markhu",4.285668869,0.031482809,4.990112867,3.644688645,4.317400756,0.835163453,1.712854367,"Medium-High",524206315034
"193","W-GAN-38-011","Byas Municipality",0.252083819,0.439785413,6.434894278,4.044566545,5.239730411,0.834381969,1.711251606,"Medium-High",NA
"194","C-BAG-28-042","Okharpauwa",1.209412884,0.080998264,5.913504002,5.848595849,5.881049925,0.832086335,1.706543442,"Medium-High",524205285005
"195","C-BAG-25-039","Thaiba",1.474004117,0.084688857,8.404832734,0.818070818,4.611451776,0.831867608,1.70609485,"Medium-High",524205255036
"196","C-BAG-24-008","Bhimkhori",2.067184893,0.056630099,6.45603317,3.308913309,4.88247324,0.829893134,1.70204536,"Medium-High",524205245025
"197","C-BAG-25-038","Sunakothi",1.195410174,0.103459623,8.404832734,0.818070818,4.611451776,0.829293963,1.700816507,"Medium-High",524205255035
