hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
524 2 05 30 5 049,ADRA,ECHO,Naubise,Distribution,Blankets,Targeted group,3150,3150,
524 2 05 24 5 038,Al-Khair Foundation UK,,Kabhrenitya Chandeshwari,Distribution,Tents,,10,20,15000
524 2 05 27 3 002,Al-Khair Foundation UK,,Kirtipur Municipality,Distribution,Tents,,20,40,15000
524 2 05 25 5 009,Al-Khair Foundation UK,,Bukhel,Distribution,Tents,,8,16,15000
524 2 05 25 5 037,Al-Khair Foundation UK,,Harisiddhi,Distribution,Tents,Targeted group,30,60,15000
524 2 05 28 5 020,Al-Khair Foundation UK,,Ratmate,Distribution,Tents,,20,40,15000
524 2 05 23 5 035,Al-Khair Foundation UK,,Chautara,Distribution,Tents,,12,24,15000
524 2 05 30 5 028,Arbeiter-Samariter- Bund Germany (ASB),,Salang,Distribution,Tool kits and fixings,,5,30,
524 2 05 23 5 004,Arbeiter-Samariter- Bund Germany (ASB),,Marming,Distribution,Tarpaulin,,2000,1000,
524 2 05 23 5 004,Arbeiter-Samariter- Bund Germany (ASB),,Marming,Distribution,Blankets,,2000,1000,
,Asal Chimekee Nepal ,,Bichet,Distribution,Tarpaulin,,50,50,
,Asal Chimekee Nepal ,,Chisapani,Distribution,Tarpaulin,,25,25,
,Asal Chimekee Nepal ,,Khamari,Distribution,Tarpaulin,,60,60,
,Asal Chimekee Nepal ,,Amarai,Distribution,Tarpaulin,,13,13,
,Asal Chimekee Nepal ,,Ratdanda,Distribution,Tarpaulin,,50,50,
524 3 08 42 5 046,Asal Chimekee Nepal ,,Ranipani,Distribution,Tarpaulin,,50,50,
524 2 05 30 5 001,Asal Chimekee Nepal ,,Darkha,Distribution,Tarpaulin,,50,50,
524 2 05 30 5 021,Asal Chimekee Nepal ,,Dhol,Distribution,Tarpaulin,,52,52,
524 2 05 30 5 032,Asal Chimekee Nepal ,,Khalte,Distribution,Tarpaulin,,30,30,
524 2 05 30 5 032,Asal Chimekee Nepal ,,Khalte,Distribution,Tarpaulin,,50,50,
524 2 05 30 5 018,Asal Chimekee Nepal ,,Rigaun,Distribution,Tarpaulin,,160,160,
524 2 05 30 5 018,Asal Chimekee Nepal ,,Rigaun,Distribution,Tarpaulin,,50,50,
524 3 07 36 5 052,Asal Chimekee Nepal ,,Aruchanaute,Distribution,Tarpaulin,,253,253,
524 3 07 36 5 004,Asal Chimekee Nepal ,,Borlang,Distribution,Tarpaulin,,30,30,
524 3 07 36 5 027,Asal Chimekee Nepal ,,Chyangling,Distribution,Tarpaulin,,60,60,
524 3 07 36 5 029,Asal Chimekee Nepal ,,Gaikhur,Distribution,Tarpaulin,,40,40,
524 3 07 36 5 044,Asal Chimekee Nepal ,,Gumda,Distribution,Tarpaulin,,50,50,
524 3 07 36 5 020,Asal Chimekee Nepal ,,Harmi,Distribution,Tarpaulin,,100,100,
524 3 07 36 5 020,Asal Chimekee Nepal ,,Harmi,Distribution,Tarpaulin,,60,60,
524 3 07 36 5 047,Asal Chimekee Nepal ,,Laprak,Distribution,Tarpaulin,,100,100,
524 3 07 36 5 061,Asal Chimekee Nepal ,,Sairpani,Distribution,Tarpaulin,,50,50,
524 3 07 36 5 025,Asal Chimekee Nepal ,,Virkot,Distribution,Tarpaulin,,30,30,
524 2 05 28 5 056,Asal Chimekee Nepal ,,Bhalche,Distribution,Tarpaulin,,14,14,
524 2 05 28 5 052,Asal Chimekee Nepal ,,Deurali,Distribution,Tarpaulin,,14,14,
524 3 07 40 5 012,Asal Chimekee Nepal ,,Bandipur,Distribution,Tarpaulin,,10,10,
524 2 05 29 5 004,Association for International Solidarity in ASIA (ASIA Onlus),,Saramthali,Distribution,CGI Bundle,,2094,1047,13400
524 2 05 29 5 003,Association for International Solidarity in ASIA (ASIA Onlus),,Yarsa,Distribution,CGI Bundle,,1014,507,13400
524 2 05 29 5 004,Association for International Solidarity in ASIA (ASIA Onlus),,Saramthali,Distribution,CGI Bundle,,126,,150000
524 2 05 29 5 004,Association for International Solidarity in ASIA (ASIA Onlus),,Saramthali,Distribution,CGI Bundle,,84,,150000
524 2 05 27 5 050,AWO International e. V,,Chalnakhel,Distribution,Tarpaulin,,100,100,
524 2 05 27 5 050,AWO International e. V,,Chalnakhel,Distribution,CGI Bundle,,60,0,
