hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,1310,131,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Construction Materials,Targeted group,350,35,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,135,135,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Tool kits and fixings,All / Blanket,27,135,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,108,108,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Tool kits and fixings,All / Blanket,23.2,116,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,106,106,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Tool kits and fixings,All / Blanket,24.6,123,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,324,324,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,131,131,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,61,61,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,197,197,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,179,179,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,145,145,
,CARE,,,Distribution,Tarpaulin,,180,180,
524 3 07 37 5 052,CARE,,Bhorletar,Distribution,Blankets,,844,422,
524 3 07 37 5 052,CARE,IOM,Bhorletar,Distribution,CGI Bundle (72ft/bundle),Targeted group,230,0,
524 3 07 37 5 052,CARE,,Bhorletar,Distribution,Tool kits and fixings,Targeted group,115,0,
524 3 07 37 5 052,CARE,,Bhorletar,Distribution,Tool kits and fixings,Targeted group,23,0,
524 3 07 37 5 052,CARE,,Bhorletar,Training,Community Training,Targeted group,542,271,
524 3 07 37 5 017,CARE,,Bichaur,Distribution,Tarpaulin,,38,38,
524 3 07 37 5 021,CARE,,Elampokhari,Distribution,Household kits (excluding tarpaulins),,178,178,
524 3 07 37 5 021,CARE,IOM,Elampokhari,Distribution,Tarpaulin,,1072,536,
524 3 07 37 5 021,CARE,IOM,Elampokhari,Distribution,CGI Bundle (72ft/bundle),Targeted group,708,0,
524 3 07 37 5 021,CARE,,Elampokhari,Distribution,Tool kits and fixings,Targeted group,354,0,
524 3 07 37 5 021,CARE,,Elampokhari,Distribution,Tool kits and fixings,Targeted group,70.8,0,
524 3 07 37 5 021,CARE,,Elampokhari,Training,Community Training,Targeted group,694,347,
524 3 07 37 5 025,CARE,,Gauda,Distribution,Household kits (excluding tarpaulins),,362,362,
524 3 07 37 5 025,CARE,IOM,Gauda,Distribution,Tarpaulin,,610,305,
524 3 07 37 5 025,CARE,IOM,Gauda,Distribution,CGI Bundle (72ft/bundle),Targeted group,470,0,
524 3 07 37 5 025,CARE,,Gauda,Distribution,Tool kits and fixings,Targeted group,235,0,
524 3 07 37 5 025,CARE,,Gauda,Distribution,Tool kits and fixings,Targeted group,47,0,
524 3 07 37 5 025,CARE,,Gauda,Training,Community Training,Targeted group,304,152,
524 3 07 37 5 053,CARE,IOM,Isaneshwar,Distribution,CGI Bundle (72ft/bundle),Targeted group,330,0,
524 3 07 37 5 053,CARE,,Isaneshwar,Distribution,Tool kits and fixings,Targeted group,165,0,
524 3 07 37 5 053,CARE,,Isaneshwar,Distribution,Tool kits and fixings,Targeted group,33,0,
524 3 07 37 5 053,CARE,,Isaneshwar,Distribution,Tarpaulin,Targeted group,220,220,
524 3 07 37 5 053,CARE,,Isaneshwar,Training,Community Training,Targeted group,1,0,
524 3 07 37 5 014,CARE,,Pachok,Distribution,Household kits (excluding tarpaulins),,469,469,
