"","p_code","vdc","hazard","exposure","housing","poverty","vulnerability","severity","sev_norm","sev_cat","hlcit","lon","lat","pop_density","hc_cnt","hc_wt_cnt","hazard_score","dist_epicenter"
"2260","E-KOS-06-013","Bishnupaduka",0.002835919,0.047393365,5.040702255,6.062271062,5.551486659,0.090699917,0.186018376,"Lowest",524102065002,87.24672322,26.84515794,91.22,1,1,6.4,205.406504952268
"2261","M-BHE-57-031","Naubasta",0.000500852,0.200952788,6.604694962,8.174603175,7.389649068,0.090602948,0.185819499,"Lowest",524411575045,81.65885516,28.24435469,407.01,1,1,4.4,379.081419252993
"2262","W-LUM-46-011","Badagaun",0.001780858,0.082546263,6.738115437,3.333333333,5.035724385,0.090461309,0.185529009,"Lowest",524309515027,83.28202966,28.13701775,302.85,2,4,4.6,219.724026756809
"2263","E-SAG-13-060","Rajapani",0.004277426,0.038412922,4.999627576,3.959096459,4.479362018,0.090287023,0.185171562,"Lowest",524103125048,86.70983654,27.13790367,70.6,1,1,5.5,143.067711493362
"2264","M-RAP-56-016","Hekuli",0.001409721,0.094376664,5.405470571,5.622710623,5.514090597,0.090189755,0.184972073,"Lowest",524410565031,82.20952959,28.09914016,356.29,1,2,5.3,323.870288373792
"2265","W-LUM-47-027","Haklang",0.005714144,0.032026146,5.31827831,2.664835165,3.991556738,0.090060159,0.184706283,"Lowest",524309465001,83.74047901,27.8728152,168.38,1,1,5.1,172.463387418687
"2266","W-GAN-40-025","Machapuchre",0.011045636,0.017725098,7.442214042,0,3.721107021,0.089980938,0.184543806,"Lowest",524307395036,83.99742642,28.46584381,6.3,1,1,6.8,162.423737816625
"2267","E-SAG-14-023","Limpatar",0.007904712,0.027658944,2.563173352,4.041514042,3.302343697,0.089711469,0.183991146,"Lowest",524103145031,86.46006181,27.04556497,139.74,76,76,6.4,129.937681019068
"2268","W-DHA-45-027","Harichaur",0.002040936,0.053985174,8.303290622,4.761904762,6.532597692,0.089618276,0.183800015,"Lowest",524308435020,83.4361371,28.1965132,194.53,2,2,5.2,205.893088358317
"2269","E-MEC-04-028","Khajurgachhi",0.004527206,0.097072847,1.614202994,1.623931624,1.619067309,0.089275231,0.183096457,"Lowest",524101045043,87.68933748,26.45779588,408.57,2,7,6.8,266.048070299984
"2270","W-GAN-39-021","Faparthum",0.005706796,0.024726973,5.197232131,4.877899878,5.037566005,0.089247218,0.183039005,"Lowest",524307415030,83.82767995,28.13238849,227.7,1,1,7.3,166.854099963013
"2271","W-GAN-41-002","Chame",0.017023954,0.01157411,4.443272456,2.753357753,3.598315105,0.089169379,0.182879362,"Lowest",524307385001,84.25316515,28.51797014,14.32,3,11,8.9,143.122708202582
"2272","M-RAP-52-003","Bangesal",0.001787913,0.067732633,6.379874042,5.320512821,5.850193431,0.089146614,0.182832674,"Lowest",524410555001,82.83155667,27.91953397,113.28,1,1,3.4,261.870050073621
"2273","W-LUM-46-040","Hardineta",0.003258705,0.04275962,6.738115437,3.333333333,5.035724385,0.088861493,0.182247914,"Lowest",524309515049,83.34335016,27.99343776,320.02,1,1,4.9,212.035050337856
"2274","W-DHA-45-026","Gwalichaur",0.00238644,0.044850956,8.303290622,4.761904762,6.532597692,0.088757015,0.182033636,"Lowest",524308435016,83.41394668,28.24360221,186.41,2,2,5.3,209.048182081666
"2275","W-LUM-46-037","Gwadi",0.005196815,0.02651076,6.738115437,3.333333333,5.035724385,0.088526602,0.181561078,"Lowest",524309515037,83.44601712,27.97019091,178.21,1,1,5.1,201.801886208814
"2276","W-LUM-47-051","Pokharathok",0.00766045,0.022635637,5.31827831,2.664835165,3.991556738,0.088456505,0.181417314,"Lowest",524309465030,83.596481,27.83997116,292.56,1,1,5.2,186.609007676255
"2277","E-SAG-13-002","Arkhaule",0.004437638,0.034281508,4.999627576,3.959096459,4.479362018,0.087998646,0.180478282,"Lowest",524103125034,86.67793163,27.19913602,136.59,1,1,5.5,136.745831473916
"2278","E-SAG-12-046","Serna",0.007629189,0.014803379,6.218955197,5.83028083,6.024618014,0.087954131,0.180386986,"Lowest",524103135011,86.62133883,27.31999664,159.89,1,1,6,125.218680400047
"2279","E-SAG-12-030","Moli",0.005774833,0.019488381,6.218955197,5.83028083,6.024618014,0.087851307,0.180176101,"Lowest",524103135030,86.53809241,27.24160183,113.14,1,1,5.9,122.539724626603
"2280","E-SAG-14-031","Rupatar",0.005365355,0.037572287,2.563173352,4.041514042,3.302343697,0.087316461,0.179079174,"Lowest",524103145037,86.53693605,27.09601989,125.73,76,152,6.2,131.994841791146
"2281","E-KOS-09-008","Dhupu",0.003653115,0.043077421,3.211651175,5.231990232,4.221820704,0.087257804,0.178958872,"Lowest",524102095016,87.26713651,27.409813,138.12,1,1,6,181.078904801089
"2282","E-SAG-13-023","Dhitung",0.00528716,0.02794599,4.999627576,3.959096459,4.479362018,0.087147051,0.178731728,"Lowest",524103125042,86.65153204,27.15708247,84.63,1,1,5.6,137.083038735528
"2283","W-GAN-39-042","Pelkachaur",0.006865407,0.019027057,5.197232131,4.877899878,5.037566005,0.08698003,0.178389181,"Lowest",524307415016,83.84265433,28.04369051,214.23,1,1,7.4,163.825453398981
"2284","E-SAG-13-027","Dorpachiuridada",0.002582512,0.056876139,4.999627576,3.959096459,4.479362018,0.086975353,0.178379589,"Lowest",524103125028,86.84693341,27.2162099,185.13,1,1,5.3,150.324928273021
"2285","E-SAG-14-024","Mainamaini",0.003723531,0.052929254,2.563173352,4.041514042,3.302343697,0.086661132,0.177735147,"Lowest",524103145011,87.12722288,26.88267096,84.86,76,76,6.1,193.213443870081
"2286","E-KOS-09-031","Syabun",0.002397261,0.064216318,3.211651175,5.231990232,4.221820704,0.086620393,0.177651594,"Lowest",524102095022,87.30453433,27.37514276,118.27,1,1,5.8,185.697945462291
"2287","M-RAP-56-025","PawanNagar",0.001322575,0.088912536,5.405470571,5.622710623,5.514090597,0.086553722,0.177514857,"Lowest",524410565030,82.24839494,28.17146027,263.39,1,1,5.2,320.78658118622
"2288","W-GAN-39-049","SatauDarau",0.005484231,0.023435265,5.197232131,4.877899878,5.037566005,0.086510494,0.177426199,"Lowest",524307415023,83.79801847,28.10827588,285.88,1,1,7.3,169.236809928734
"2289","E-SAG-13-045","Lamidada",0.005189027,0.027853725,4.999627576,3.959096459,4.479362018,0.086509097,0.177423335,"Lowest",524103125004,86.66910406,27.24815349,113.03,1,2,5.6,133.206474937591
"2290","M-RAP-56-027","Purandhara",0.000590266,0.198881955,5.405470571,5.622710623,5.514090597,0.086504565,0.177414039,"Lowest",524410565036,82.08674953,28.19907871,105.5,1,1,4.8,336.861718241483
"2291","E-KOS-10-038","Kulunga",0.003236819,0.04113986,4.667106139,5.045787546,4.856446842,0.086476871,0.177357241,"Lowest",524102105006,87.10201056,27.44105611,159.94,1,2,5.4,164.452484928737
"2292","W-LUM-47-042","Koldada",0.004084568,0.039622616,5.31827831,2.664835165,3.991556738,0.086445791,0.177293498,"Lowest",524309465040,83.55987115,27.76358633,90.97,1,1,5,190.464936420243
"2293","W-GAN-39-015","Chilaunebas",0.004592256,0.027904984,5.197232131,4.877899878,5.037566005,0.086425694,0.177252282,"Lowest",524307415028,83.78803461,28.15278966,171.44,2,4,7.2,171.105000200206
"2294","E-SAG-12-025","Kuibhir",0.006040249,0.01767384,6.218955197,5.83028083,6.024618014,0.086318739,0.177032925,"Lowest",524103135007,86.66250348,27.32973612,118.07,1,1,6,128.344049185461
"2295","W-DHA-44-015","BitalawaPipaltari",0.005627189,0.024675715,6.752787046,2.478632479,4.615709762,0.086218391,0.17682712,"Lowest",524308425025,83.70799398,28.20640703,318.83,1,1,4.8,180.018548447129
"2296","M-RAP-56-006","Dharna",0.001652121,0.070234035,5.405470571,5.622710623,5.514090597,0.086169671,0.176727199,"Lowest",524410565002,82.40074683,27.96968917,91.38,1,1,5.3,304.332825736946
"2297","W-DHA-45-029","Heel",0.00333975,0.029258201,8.303290622,4.761904762,6.532597692,0.086102516,0.176589468,"Lowest",524308435036,83.49442447,28.14940046,129.42,4,12,5.4,199.35336139727
"2298","W-LUM-46-018","Birbas",0.00267683,0.046921789,6.738115437,3.333333333,5.035724385,0.085839219,0.176049467,"Lowest",524309515044,83.32058199,28.01745447,303.87,1,1,4.8,214.470412116765
"2299","E-SAG-13-056","Patheka",0.003556238,0.039694378,4.999627576,3.959096459,4.479362018,0.08583123,0.176033084,"Lowest",524103125026,86.86979309,27.27468389,110.79,1,1,5.5,149.447296678038
"2300","W-LUM-46-050","Johang",0.002820398,0.044512652,6.738115437,3.333333333,5.035724385,0.085825951,0.176022256,"Lowest",524309515013,83.42970152,28.03695634,471.29,2,7,4.8,204.001506098115
"2301","W-GAN-39-061","WangsingDeurali",0.005147699,0.02433741,5.197232131,4.877899878,5.037566005,0.085776717,0.175921281,"Lowest",524307415032,83.79920291,28.19089472,184.08,1,3,7.2,170.919893014977
"2302","W-DHA-45-007","Batakachaur",0.002441982,0.039561106,8.303290622,4.761904762,6.532597692,0.085775958,0.175919723,"Lowest",524308435005,83.60708307,28.23913571,222.54,2,2,5.3,190.467083487581
"2303","W-LUM-47-003","Bahadurpur",0.009092801,0.017325284,5.31827831,2.664835165,3.991556738,0.085672238,0.175707002,"Lowest",524309465016,83.74696946,27.74165984,83.61,1,1,5.2,172.237709072255
"2304","W-DHA-45-059","Tara",0.002142909,0.04456391,8.303290622,4.761904762,6.532597692,0.085445856,0.175242712,"Lowest",524308435019,83.3755024,28.33376444,64.23,2,2,5.2,214.988370521185
"2305","W-LUM-46-022","Darbardevisthan",0.00232513,0.053113784,6.738115437,3.333333333,5.035724385,0.085356935,0.175060342,"Lowest",524309515045,83.28169324,28.00536663,317.79,1,1,4.8,218.169638123993
"2306","E-KOS-05-012","Bhogateni",0.001625452,0.054897571,5.098350931,8.766788767,6.932569849,0.085206726,0.174752275,"Lowest",524102055038,87.45932875,26.78376354,73.93,1,1,6.7,226.889808068479
"2307","W-LUM-46-053","Khadgakot",0.0031094,0.039304815,6.738115437,3.333333333,5.035724385,0.085060533,0.174452443,"Lowest",524309515023,83.55216465,28.08915742,224.7,1,1,4.9,192.748148777311
"2308","W-DHA-45-043","Palakot",0.002556184,0.036700897,8.303290622,4.761904762,6.532597692,0.084941165,0.174207631,"Lowest",524308435004,83.54838383,28.27888172,281.4,2,2,5.3,197.086930570851
"2309","W-GAN-40-009","Dhampus",0.006319206,0.026008429,7.442214042,0,3.721107021,0.084882129,0.174086551,"Lowest",524307395028,83.8496186,28.31148247,163.77,2,5,6.6,169.670065136874
"2310","W-GAN-41-013","Thoche",0.043290002,0.003916129,4.443272456,2.753357753,3.598315105,0.084810171,0.173938971,"Lowest",524307385010,84.43529249,28.63722099,1,2,4,9.2,136.464053700809
"2311","W-GAN-39-032","MajhakotSivalaya",0.007466295,0.015941311,5.197232131,4.877899878,5.037566005,0.084323762,0.172941385,"Lowest",524307415011,83.84309195,28.00540978,208.53,1,1,7.4,163.277204891472
"2312","E-KOS-07-011","Chhintang",0.001672833,0.096150199,4.069743114,3.379120879,3.724431996,0.084298713,0.172890011,"Lowest",524102075035,87.19382644,26.94177178,198.71,1,1,4.7,195.256209950002
"2313","E-KOS-09-014","Kharang",0.002426731,0.058403634,3.211651175,5.231990232,4.221820704,0.084266269,0.172823471,"Lowest",524102095033,87.23926674,27.26175704,115.53,1,2,5.8,183.640266894595
"2314","E-SAG-12-050","Taluwa",0.004799976,0.020462288,6.218955197,5.83028083,6.024618014,0.083953911,0.17218285,"Lowest",524103135013,86.58638701,27.24213829,114.11,1,1,5.9,126.53302958316
"2315","W-DHA-44-051","Thapathana",0.004203014,0.03043714,6.752787046,2.478632479,4.615709762,0.083894677,0.172061365,"Lowest",524308425030,83.72066797,28.17248786,361.63,1,1,4.7,178.012385597271
"2316","W-LUM-47-066","Yamgha",0.004022736,0.036629135,5.31827831,2.664835165,3.991556738,0.083784463,0.171835324,"Lowest",524309465031,83.58778353,27.92108035,260.73,1,1,5,187.610895518753
"2317","W-GAN-39-001","Alamadevi",0.002917586,0.039407332,5.197232131,4.877899878,5.037566005,0.083356698,0.170958013,"Lowest",524307415051,83.50923187,27.95679167,230.9,1,1,7,195.514203563628
"2318","W-LUM-47-008","Bhuwanpokhari",0.002604522,0.055440908,5.31827831,2.664835165,3.991556738,0.083221121,0.170679955,"Lowest",524309465051,83.33667553,27.90446073,199.56,1,1,4.8,212.211499942674
"2319","E-SAG-14-040","Thanagaun",0.006827851,0.025526601,2.563173352,4.041514042,3.302343697,0.083182717,0.170601192,"Lowest",524103145039,86.56551741,27.11311974,102.09,76,76,6.3,133.033685083236
"2320","W-GAN-40-038","Salyan",0.004252068,0.036301083,7.442214042,0,3.721107021,0.083124804,0.170482416,"Lowest",524307395042,83.78948726,28.2804539,253.96,1,1,6.4,174.312577870867
"2321","E-SAG-13-071","Sungdel",0.005046719,0.025055026,4.999627576,3.959096459,4.479362018,0.082738326,0.16968978,"Lowest",524103125016,86.88205076,27.38322168,34.18,1,1,5.6,145.854821509094
"2322","E-SAG-11-013","Gudel",0.00524118,0.043507991,1.908867654,3.058608059,2.483737856,0.082737287,0.16968765,"Lowest",524103115015,86.88361998,27.47668195,39.8,1,1,6.6,142.661784116237
"2323","W-DHA-44-008","Behulibans",0.004313829,0.028263791,6.752787046,2.478632479,4.615709762,0.082561446,0.169327014,"Lowest",524308425054,83.64164778,28.04603919,464.61,1,1,4.7,183.431384379203
"2324","E-SAG-14-026","Okhale",0.00609145,0.027904984,2.563173352,4.041514042,3.302343697,0.082491317,0.169183184,"Lowest",524103145032,86.49589253,27.07078922,124.35,76,76,6.3,130.691650882991
"2325","E-SAG-13-049","Mahadevsthan",0.004411715,0.028366308,4.999627576,3.959096459,4.479362018,0.082453448,0.169105519,"Lowest",524103125041,86.62619493,27.19892868,186.06,1,1,5.5,132.430613267207
"2326","M-BHE-57-018","Kalaphanta",0.001577551,0.048069974,6.604694962,8.174603175,7.389649068,0.082444251,0.169086656,"Lowest",524411575003,81.88103075,27.9144676,248.03,1,2,5,355.243633540027
"2327","E-MEC-01-032","Phungling",0.001019887,0.153508165,4.123917932,3.028083028,3.57600048,0.082418935,0.169034734,"Lowest",524101015001,87.65243692,27.36139136,619.59,3,11,5,219.209672077604
"2328","E-SAG-11-012","Gorakhani",0.016254881,0.013808969,1.908867654,3.058608059,2.483737856,0.08230324,0.168797454,"Lowest",524103115029,86.50790575,27.48721518,35.81,1,2,7,107.245744484855
"2329","W-DHA-44-024","FulebasKhanigaun",0.006109908,0.019734421,6.752787046,2.478632479,4.615709762,0.082255673,0.168699897,"Lowest",524308425035,83.66506239,28.17270549,435.57,1,1,4.8,183.360384061837
"2330","E-SAG-13-001","Ainselukharka",0.004027312,0.030703683,4.999627576,3.959096459,4.479362018,0.082124733,0.168431349,"Lowest",524103125017,86.76443795,27.36956817,157.83,1,3,5.5,135.637488504449
"2331","E-SAG-11-009","Deusa",0.005266758,0.042339303,1.908867654,3.058608059,2.483737856,0.082122899,0.168427588,"Lowest",524103115024,86.6970775,27.46329442,168.72,1,1,6.6,125.645044031692
"2332","W-DHA-44-018","Deupurkot",0.004164263,0.028663606,6.752787046,2.478632479,4.615709762,0.081978975,0.168132411,"Lowest",524308425014,83.74517744,28.28958991,402.38,1,1,4.7,178.763741764
"2333","W-GAN-39-012","ChandiBhanjyang",0.002701964,0.040411993,5.197232131,4.877899878,5.037566005,0.081935137,0.168042503,"Lowest",524307415053,83.47610884,27.94406078,204.08,1,1,7,198.686244016195
"2334","W-LUM-46-079","Wamitaksar",0.001669919,0.065190224,6.738115437,3.333333333,5.035724385,0.081842706,0.167852935,"Lowest",524309515033,83.30789883,28.17740663,354.29,2,4,4.6,217.901609927778
"2335","E-SAG-11-025","Nechabatase",0.006295317,0.034947865,1.908867654,3.058608059,2.483737856,0.081755065,0.167673189,"Lowest",524103115026,86.60751494,27.35253494,195.27,1,1,6.6,122.352227357782
"2336","E-SAG-13-037","Khalle",0.003726826,0.032723258,4.999627576,3.959096459,4.479362018,0.081746772,0.167656182,"Lowest",524103125046,86.77224555,27.1811092,169.11,1,1,5.5,145.770858541115
