"","hazard","exposure","housing","poverty","vulnerability","severity","degree"
"357",0.039496873,0.030662677,5.97793252,3.199023199,4.58847786,0.177125248,0
"361",0.045985856,0.041611436,5.97793252,3.199023199,4.58847786,0.206301256,0
"392",0.065142488,0.032374702,5.97793252,3.199023199,4.58847786,0.213098105,0
"429",0.49964258,0.027238627,5.97793252,3.199023199,4.58847786,0.396738575,0
"458",0.863939977,0.027166865,5.97793252,3.199023199,4.58847786,0.47577021,0
"499",0.770868122,0.021395188,5.97793252,3.199023199,4.58847786,0.42298173,0
"500",0.368412186,0.025311317,5.97793252,3.199023199,4.58847786,0.349761865,0
"503",0.829522364,0.051104461,6.441465148,5.213675214,5.827570181,0.627467845,0
"686",1.022463998,0.038084869,6.441465148,5.213675214,5.827570181,0.609952481,0
"691",NA,NA,NA,NA,NA,NA,26
"703",2.51873924,0.053236804,6.441465148,5.213675214,5.827570181,0.921073381,0
"713",1.678687347,0.030611418,6.441465148,5.213675214,5.827570181,0.669032057,0
"741",1.428384751,0.042288045,6.817638797,5.152625153,5.985131975,0.712380758,0
"813",2.195431839,0.080906,6.817638797,5.152625153,5.985131975,1.020606052,332
"828",0.607662871,0.026551766,6.852053081,6.572039072,6.712046076,0.476654483,0
"867",0.910520474,0.035255415,6.852053081,6.572039072,6.712046076,0.599501339,177
"868",0.536862804,0.018770766,6.852053081,6.572039072,6.712046076,0.407442893,0
"889",0.478876041,0.026469753,6.852053081,6.572039072,6.712046076,0.439821014,0
"898",0.822392895,0.032036397,6.852053081,6.572039072,6.712046076,0.561296909,0
"907",0.882369689,0.05856766,6.852053081,6.572039072,6.712046076,0.702621004,0
"940",0.297583896,0.01627449,6.8024200635,4.5253357755,5.663877919,0.247290552,0
"976",3.384642926,0.042739117,4.990112867,3.644688645,4.317400756,0.854778499,129
"978",3.221007719,0.080372914,4.990112867,3.644688645,4.317400756,1.037786334,115
"980",2.746707613,0.067373825,4.990112867,3.644688645,4.317400756,0.927916007,85
"1002",0.86984836,0.004367202,5.913504002,5.848595849,5.881049925,0.281644033,26
"1020",1.203211305,0.065426012,5.913504002,5.848595849,5.881049925,0.773598716,169
"1041",1.487273481,0.064441854,5.913504002,5.848595849,5.881049925,0.826046654,52
"1065",1.990412568,0.079860332,5.913504002,5.848595849,5.881049925,0.977784226,229
"1093",1.158924106,0.03945859,8.863975701,1.816239316,5.340107508,0.625051094,139
"1098",1.490266593,0.159044054,8.863975701,1.816239316,5.340107508,1.081709063,0
"1100",0.907074722,0.075072812,8.863975701,1.816239316,5.340107508,0.713770481,0
"1102",1.435285015,0.038740975,8.863975701,1.816239316,5.340107508,0.66714397,268
"1108",1.036494374,0.250396482,8.863975701,1.816239316,5.340107508,1.114932027,0
"1109",0.726391333,0.165810142,8.863975701,1.816239316,5.340107508,0.86319831,0
"1118",0.814777868,0.052642208,8.863975701,1.816239316,5.340107508,0.611844567,0
"1120",1.617594448,0.557792123,8.863975701,1.816239316,5.340107508,1.689003988,0
"1122",1.738208783,0.321963231,8.863975701,1.816239316,5.340107508,1.440409817,0
"1124",1.508917045,0.040606774,8.863975701,1.816239316,5.340107508,0.689082604,0
"1126",1.339502435,0.032384953,8.863975701,1.816239316,5.340107508,0.614156324,0
"1127",1.06200495233333,0.064045457,6.782906879,4.004884005,5.39389544166667,0.587735066,0
"1134",2.170716589,10,8.863975701,1.816239316,5.340107508,4.875857919,0
"1140",1.79491861,0.057604006,8.226716181,0.894383394,4.560549788,0.77834394,0
"1142",1.532984886,0.079152968,8.226716181,0.894383394,4.560549788,0.820995467,0
"1146",2.412756668,0.08333564,8.226716181,0.894383394,4.560549788,0.971524671,0
"1150",1.817828592,0.838051654,8.226716181,0.894383394,4.560549788,1.908154956,0
"1152",1.472664629,0.129970383,8.404832734,0.818070818,4.611451776,0.959243007,262
"1154",1.474004117,0.084688857,8.404832734,0.818070818,4.611451776,0.831867608,214
"1158",1.430544483,0.106350588,8.404832734,0.818070818,4.611451776,0.888572724,64
"1160",2.032508776,0.083940487,8.404832734,0.818070818,4.611451776,0.923167547,310
"1162",1.441139016,0.045968386,8.404832734,0.818070818,4.611451776,0.673494832,91
"1164",1.309141518,0.050376594,8.404832734,0.818070818,4.611451776,0.672487718,26
"1168",1.43094614,0.1185602995,6.409340282,2.3916361415,4.400488212,0.503733115,248
"1174",0.000680709,0.029007036,4.4898964775,5.7967032965,5.143299887,0.043268796,189
"1176",3.180417762,0.086226604,8.404832734,0.818070818,4.611451776,1.081403345,49
"1177",1.720360572,2.263584201,8.404832734,0.818070818,4.611451776,2.618693089,267
"1179",1.67397352,0.024491185,6.45603317,3.308913309,4.88247324,0.584968866,0
"1182",2.158805985,0.126495075,6.45603317,3.308913309,4.88247324,1.100632586,0
"1193",2.056612228,0.044235858,6.45603317,3.308913309,4.88247324,0.762995973,0
"1195",2.7611734,0.072930218,6.45603317,3.308913309,4.88247324,0.994367729,0
"1197",3.483079139,0.062750332,6.45603317,3.308913309,4.88247324,1.021895331,0
"1202",2.314336634,0.028591844,6.45603317,3.308913309,4.88247324,0.686177051,0
"1203",2.691920522,0.027628189,6.45603317,3.308913309,4.88247324,0.713430232,0
"1207",3.630410485,0.027125858,6.45603317,3.308913309,4.88247324,0.783417073,0
"1209",3.321293571,0.043405474,6.45603317,3.308913309,4.88247324,0.88953672,0
"1211",2.38243547,0.040729794,6.45603317,3.308913309,4.88247324,0.779574715,0
"1212",2.776564899,0.050966064,7.655262932,5.882173382,6.7687181575,0.500624761,0
"1214",3.575102189,0.027607686,6.45603317,3.308913309,4.88247324,0.784006107,0
"1216",2.710123857,0.039151041,6.45603317,3.308913309,4.88247324,0.803139107,0
"1218",2.349913703,0.041098854,6.45603317,3.308913309,4.88247324,0.778348031,0
"1220",6.132891294,0.049587217,6.45603317,3.308913309,4.88247324,1.140840576,0
"1222",3.830886438,0.026777302,6.45603317,3.308913309,4.88247324,0.794148996,0
"1224",4.237418741,0.046686001,6.45603317,3.308913309,4.88247324,0.988498415,381
"1226",3.475186975,0.023978603,6.45603317,3.308913309,4.88247324,0.740992775,0
"1228",3.297377371,0.280464564,6.45603317,3.308913309,4.88247324,1.652832487,0
